gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3337559907	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/90794984	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	Puma concolor		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	8.408661	-83.327498	9.0						2021-08-11T10:22:36	11	8	2021	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	90794984		Marvin López M.	2021-08-11T17:02:57	CC_BY_NC_4_0	Marvin López M.	Marvin López M.			2021-09-23T21:26:16.096Z	StillImage	COORDINATE_ROUNDED
3333401669	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/88270427	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	Puma concolor		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	8.632044	-83.720297	9.0						2021-07-15T16:22:29	15	7	2021	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	88270427		Tiziano Luka Pesci Rubilar	2021-07-23T17:52:04	CC_BY_NC_4_0	Rebeca Quirós	Rebeca Quirós			2021-09-23T21:15:51.507Z		COORDINATE_ROUNDED
3325502794	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/85490861	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Alajuela	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.715132	-85.007923	54.0						2021-07-01T19:28:25	1	7	2021	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	85490861		Sofía Pastor Parajeles	2021-07-03T16:59:46	CC_BY_NC_4_0	Sofía Pastor Parajeles	Sofía Pastor Parajeles			2021-09-23T20:59:21.345Z	StillImage	COORDINATE_ROUNDED
3314547422	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/84224884	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Alajuela	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.70198	-84.996605	48.0						2021-06-23T10:55:00	23	6	2021	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	84224884		Sofía Pastor Parajeles	2021-06-23T20:39:47	CC_BY_NC_4_0	Sofía Pastor Parajeles	Sofía Pastor Parajeles			2021-09-23T21:25:26.648Z	StillImage	
3307298689	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/82810053	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii		CR		Alajuela	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.567064	-84.773261	31189.0						2015-12-05T14:41:42	5	12	2015	2434950	2434950	HUMAN_OBSERVATION	iNaturalist	Observations	82810053		David	2021-06-13T09:10:50	CC_BY_NC_4_0	David	David			2021-09-23T21:25:57.478Z	StillImage	COORDINATE_ROUNDED
3307258068	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/82809934	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii		CR		Alajuela	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.558868	-84.602177	31189.0						2015-12-05T00:00:00	5	12	2015	2434950	2434950	HUMAN_OBSERVATION	iNaturalist	Observations	82809934		David	2021-06-13T09:09:32	CC_BY_NC_4_0	David	David			2021-09-23T21:25:35.914Z	StillImage	COORDINATE_ROUNDED
3302057398	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/81502744	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	Puma concolor		CR		Guanacaste	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.836068	-85.619334	67.0						2021-06-03T17:30:22	3	6	2021	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	81502744		Michelle Monge-Velazquez	2021-06-04T00:10:47	CC_BY_NC_4_0	Michelle Monge-Velazquez	Michelle Monge-Velazquez			2021-09-23T21:15:55.933Z	StillImage	COORDINATE_ROUNDED
3301973250	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/81200915	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.747438	-85.217745	76.0						2021-06-01T11:45:30	1	6	2021	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	81200915		Zak	2021-06-02T12:05:45	CC_BY_NC_4_0	jefferson_1	jefferson_1			2021-09-23T21:08:13.136Z	StillImage	COORDINATE_ROUNDED
3124895397	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/80059056	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.608214	-85.111102	456.0						2019-07-21T00:00:00	21	7	2019	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	80059056		Alejandro Garza Garcia	2021-05-24T03:15:07	CC_BY_NC_4_0	Alejandro Garza Garcia	Alejandro Garza Garcia			2021-09-23T21:25:32.610Z	StillImage	COORDINATE_ROUNDED
3113421844	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/78541978	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Guanacaste	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	11.049293	-85.470129	1347.0						2021-05-12T07:37:27	12	5	2021	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	78541978		Jairo Moya Vargas	2021-05-13T04:10:12	CC_BY_NC_4_0	Jairo Moya Vargas	Jairo Moya Vargas			2021-09-23T21:25:31.099Z	StillImage	COORDINATE_ROUNDED
